name,serving_size_grams,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,tags
Chicken breast,100,165,31.0,0.0,3.6,0.0,0.0,74,whole
Egg,50,72,6.3,0.4,4.8,0.0,0.2,62,whole
Avocado,100,160,2.0,9.0,15.0,7.0,0.7,7,whole
White rice cooked,150,195,4.0,42.0,0.4,0.6,0.1,0,processed
Oats dry,40,150,5.0,27.0,3.0,4.0,1.0,2,whole
Olive oil,14,119,0.0,0.0,13.5,0.0,0.0,0,whole
Greek yogurt 2%,170,130,17.0,6.0,4.0,0.0,6.0,55,processed
Protein powder whey,30,120,24.0,3.0,1.5,0.0,2.0,60,processed
Soda regular,355,140,0.0,39.0,0.0,0.0,39.0,20,ultra
Banana,118,105,1.3,27.0,0.4,3.1,14.0,1,whole
Flat white 250ml,250,120,8.0,10.0,5.0,0.0,10.0,80,processed
Bread slice white,30,80,2.7,14.0,1.0,0.6,1.5,140,processed
Bread slice wholegrain,35,90,4.0,15.0,1.3,2.5,1.5,140,processed
Apple,182,95,0.5,25.0,0.3,4.4,19.0,2,whole
Beef sirloin,100,200,26.0,0.0,10.0,0.0,0.0,55,whole
Salmon,100,208,20.0,0.0,13.0,0.0,0.0,60,whole
Broccoli,100,35,2.4,7.0,0.4,2.6,1.4,33,whole
